"Timestamp","What is your age?","What is your gender?","Which city do you currently reside in?","Which university did you get your bachelor's degree from?","What was your field of study?","What CGPA did you graduate with?","Did you do any online courses besides academic courses while you were enrolled in your bachelor's program?","How often did you resort to online courses each semester?","How many online courses did you do altogether?","How have these online courses helped you?","Are you currently employed?","What kind of job are you currently employed in?","What is your current monthly earning?","How long did it take you to get a job after graduation?","How satisfied are you with your current job?"
"2024/02/28 10:11:34 PM GMT+6","21 - 25","Female","Uttara","North South","Other (please specify)","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","","Full-time employment","Under 20,000","Immediately after","4"
"2024/02/28 10:28:22 PM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","A better understanding of academic courses","No","","","",""
"2024/02/28 10:54:58 PM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses","No","","","",""
"2024/03/01 11:40:40 PM GMT+6","21 - 25","Male","Bashundhara","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","1 - 3","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","Under 20,000","Immediately after","2"
"2024/03/01 11:45:48 PM GMT+6","21 - 25","Male","DHAKA","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","No","","","",""
"2024/03/01 11:47:54 PM GMT+6","21 - 25","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Part-time employment","Under 20,000","3-6 months","2"
"2024/03/01 11:49:43 PM GMT+6","21 - 25","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses;Better time management;","Yes","Full-time employment","20,000 - 50,000","6-9 months","3"
"2024/03/01 11:53:26 PM GMT+6","21 - 25","Male","Dhaka","Nsu","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","No","","","",""
"2024/03/01 11:56:41 PM GMT+6","21 - 25","Male","Dhaka","NSU","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Freelancing","20,000 - 50,000","6-9 months","3"
"2024/03/02 12:04:41 AM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Part-time employment","Under 20,000","Immediately after","4"
"2024/03/02 12:05:32 AM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","1 - 3","Skill development","Yes","Freelancing","20,000 - 50,000","1-3 months","4"
"2024/03/02 12:07:19 AM GMT+6","31 - 35","Female","Rajshahi","NSU","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","A better understanding of academic courses;Better time management","Yes","Part-time employment","Under 20,000","Less than a month","2"
"2024/03/02 12:08:54 AM GMT+6","40+","Male","Kulaura","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","20,000 - 50,000","Immediately after","4"
"2024/03/02 12:09:05 AM GMT+6","21 - 25","Male","Dhaka","NSU","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Part-time employment","20,000 - 50,000","Less than a month","3"
"2024/03/02 12:21:19 AM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Sometimes","1 - 3","Better time management","No","","","",""
"2024/03/02 12:31:09 AM GMT+6","21 - 25","Male","Kulaura","Leading University","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development;Budget-friendly","Yes","Full-time employment","50,000 - 80,000","6-9 months","2"
"2024/03/02 12:35:46 AM GMT+6","21 - 25","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.0 - 3.5","No","","","","No","","","",""
"2024/03/02 12:49:48 AM GMT+6","21 - 25","Male","Dhaka","North South University","Business/Economics","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development;","No","","","",""
"2024/03/02 1:06:21 AM GMT+6","21 - 25","Female","Dhaka","AIUB","Science/Technology/Engineering/Math","3.0 - 3.5","No","","","","No","","","",""
"2024/03/02 1:11:11 AM GMT+6","21 - 25","Male","Dhaka ","Brac University","Science/Technology/Engineering/Math","1.0 - 2.0","No","","","","No","","","",""
"2024/03/02 1:56:29 AM GMT+6","26 - 30","Male","Sylhet","Leading University","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","Yes","Full-time employment","20,000 - 50,000","Immediately after","4"
"2024/04/04 7:52:02 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/04 7:52:28 PM GMT+6","31 - 35","Male","Dhaka","IUB","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","6-9 months","4"
"2024/04/04 7:53:02 PM GMT+6","31 - 35","Male","Chittagong","Brac University","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","110,000 - 150,000","6-9 months","5"
"2024/04/05 2:01:39 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","150,000 - 200,000","Less than a month","5"
"2024/04/05 2:02:38 PM GMT+6","31 - 35","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","above 200,000","Less than a month","5"
"2024/04/05 2:05:20 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","3.0 - 3.5","No","","","","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/05 2:07:43 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Business/Economics","3.0 - 3.5","Yes","Rarely","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/05 2:08:42 PM GMT+6","21 - 25","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","Immediately after","5"
"2024/04/05 2:09:37 PM GMT+6","31 - 35","Female","Dhaka","AIUB","Arts/Humanities/Social Sciences","3.0 - 3.5","No","","","","Yes","Full-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/05 2:11:02 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","3.0 - 3.5","Yes","Sometimes","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
"2024/04/05 2:12:11 PM GMT+6","31 - 35","Female","Dhaka","Dhaka University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","Immediately after","5"
"2024/04/05 2:36:34 PM GMT+6","21 - 25","Female","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Sometimes","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000 - 80,000","Less than a month","4"
"2024/04/05 2:37:29 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","3.0 - 3.5","No","","","","Yes","Full-time employment","50,000 - 80,000","1-3 months","3"
"2024/04/05 2:39:57 PM GMT+6","31 - 35","Male","Dhaka","Dhaka University","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","Less than a month","5"
"2024/04/05 2:40:19 PM GMT+6","21 - 25","Male","Dhaka","North South University","Business/Economics","3.0 - 3.5","No","","","","No","","","",""
"2024/04/05 2:41:28 PM GMT+6","26 - 30","Male","Dhaka","IUB","Arts/Humanities/Social Sciences","3.0 - 3.5","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Part-time employment","Under 20,000","Less than a month","3"
"2024/04/05 2:42:08 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Sometimes","4 - 6","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Less than a month","4"
"2024/04/05 2:51:03 PM GMT+6","26 - 30","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","4 - 6","Skill development;Budget-friendly","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/05 2:51:37 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","No","","","","No","","","",""
"2024/04/05 2:52:29 PM GMT+6","31 - 35","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","above 200,000","Immediately after","5"
"2024/04/05 2:53:41 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","50,000 - 80,000","1-3 months","3"
"2024/04/05 2:54:31 PM GMT+6","21 - 25","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Immediately after","5"
"2024/04/05 2:55:14 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Sometimes","4 - 6","A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/05 5:29:30 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Part-time employment","20,000 - 50,000","1-3 months","4"
"2024/04/05 5:30:34 PM GMT+6","31 - 35","Female","Dhaka","IUB","Arts/Humanities/Social Sciences","3.5 - 4.0","Yes","Rarely","1 - 3","A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
"2024/04/05 5:31:41 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Less than a month","5"
"2024/04/05 5:32:18 PM GMT+6","31 - 35","Female","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","above 200,000","Immediately after","5"
"2024/04/05 5:33:26 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
"2024/04/05 5:33:50 PM GMT+6","21 - 25","Female","Dhaka","North South University","Arts/Humanities/Social Sciences","3.0 - 3.5","No","","","","No","","","",""
"2024/04/05 5:36:00 PM GMT+6","26 - 30","Female","Chittagong","KUET","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Less than a month","5"
"2024/04/05 5:51:08 PM GMT+6","21 - 25","Male","Dhaka","BUET","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Less than a month","4"
"2024/04/05 5:51:52 PM GMT+6","26 - 30","Male","Dhaka","IUB","Business/Economics","3.0 - 3.5","No","","","","Yes","Full-time employment","20,000 - 50,000","3-6 months","1"
"2024/04/05 5:52:52 PM GMT+6","31 - 35","Female","Sylhet","KUET","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Less than a month","4"
"2024/04/05 5:53:59 PM GMT+6","31 - 35","Female","Dhaka","North South University","Arts/Humanities/Social Sciences","3.0 - 3.5","Yes","Sometimes","4 - 6","A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/05 5:54:54 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
"2024/04/05 5:58:21 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Business/Economics","3.0 - 3.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","50,000 - 80,000","1-3 months","3"
"2024/04/05 6:02:02 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","3.0 - 3.5","No","","","","Yes","Full-time employment","20,000 - 50,000","1-3 months","2"
"2024/04/05 6:03:35 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","50,000 - 80,000","Less than a month","4"
"2024/04/05 10:29:30 PM GMT+6","31 - 35","Female","Khulna","Brac University","Business/Economics","3.5 - 4.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/05 10:30:01 PM GMT+6","31 - 35","Male","Chittagong","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/05 10:30:25 PM GMT+6","36 - 40","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","6-9 months","4"
"2024/04/05 10:30:47 PM GMT+6","36 - 40","Male","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","6-9 months","5"
"2024/04/05 10:31:18 PM GMT+6","31 - 35","Female","Calgary","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/05 10:31:41 PM GMT+6","31 - 35","Male","Calgary","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","1 - 3","Skill development","Yes","Part-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/05 10:32:10 PM GMT+6","31 - 35","Male","Calgary","University of Calgary","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/05 10:32:50 PM GMT+6","31 - 35","Male","Calgary","University of Calgary","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/05 10:33:12 PM GMT+6","31 - 35","Female","Calgary","University of Calgary","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","Yes","Full-time employment","80,000 - 110,000","6-9 months","5"
"2024/04/05 10:33:58 PM GMT+6","31 - 35","Male","Calgary","University of Calgary","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000 - 80,000","Less than a month","5"
"2024/04/05 10:34:20 PM GMT+6","31 - 35","Male","Calgary","University of Calgary","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/05 10:34:43 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Business/Economics","3.0 - 3.5","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","80,000 - 110,000","1-3 months","5"
"2024/04/05 10:35:10 PM GMT+6","31 - 35","Male","Khulna","BUET","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/05 10:35:33 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development","Yes","Freelancing","50,000 - 80,000","1-3 months","5"
"2024/04/05 10:35:57 PM GMT+6","26 - 30","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development","Yes","Freelancing","50,000 - 80,000","3-6 months","5"
"2024/04/05 10:36:20 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development","Yes","Freelancing","80,000 - 110,000","3-6 months","5"
"2024/04/05 10:36:46 PM GMT+6","31 - 35","Male","Chittagong","AIUB","Business/Economics","3.0 - 3.5","Yes","Often","1 - 3","Skill development;Budget-friendly","Yes","Part-time employment","50,000 - 80,000","1-3 months","5"
"2024/04/05 10:37:14 PM GMT+6","31 - 35","Female","Chittagong","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","80,000 - 110,000","Less than a month","5"
"2024/04/05 10:37:36 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/05 10:37:57 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Sometimes","1 - 3","Skill development","Yes","Part-time employment","50,000 - 80,000","Less than a month","3"
"2024/04/05 10:38:20 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Freelancing","50,000 - 80,000","Less than a month","4"
"2024/04/05 10:38:40 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Very Often","4 - 6","Skill development","Yes","Freelancing","80,000 - 110,000","3-6 months","4"
"2024/04/05 10:39:04 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/05 10:39:29 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Business/Economics","3.0 - 3.5","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","1-3 months","3"
"2024/04/05 10:39:52 PM GMT+6","31 - 35","Male","Khulna","East West University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses","Yes","Part-time employment","50,000 - 80,000","Less than a month","3"
"2024/04/05 10:40:14 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Sometimes","1 - 3","A better understanding of academic courses","Yes","Part-time employment","20,000 - 50,000","1-3 months","2"
"2024/04/05 10:40:43 PM GMT+6","26 - 30","Male","Rangpur","IUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses","Yes","Freelancing","50,000 - 80,000","3-6 months","4"
"2024/04/05 10:41:02 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","A better understanding of academic courses","Yes","Part-time employment","50,000 - 80,000","3-6 months","4"
"2024/04/05 10:41:21 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","Immediately after","4"
"2024/04/05 10:41:40 PM GMT+6","31 - 35","Male","Dhaka","IUB","Business/Economics","2.0 - 2.5","Yes","Often","4 - 6","Skill development","Yes","Part-time employment","50,000 - 80,000","Less than a month","3"
"2024/04/05 10:41:58 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","3.0 - 3.5","No","","","","Yes","Full-time employment","50,000 - 80,000","3-6 months","4"
"2024/04/05 11:59:42 PM GMT+6","31 - 35","Male","Chittagong","University of Chittagong","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
