"Timestamp","What is your age?","What is your gender?","Which city do you currently reside in?","Which university did you get your bachelor's degree from?","What was your field of study?","What CGPA did you graduate with?","Did you do any online courses besides academic courses while you were enrolled in your bachelor's program?","How often did you resort to online courses each semester?","How many online courses did you do altogether?","How have these online courses helped you?","Are you currently employed?","What kind of job are you currently employed in?","What is your current monthly earning?","How long did it take you to get a job after graduation?","How satisfied are you with your current job?"
"2024/04/27 5:53:34 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Sometimes","4 - 6","A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","1-3 months","3"
"2024/04/27 5:54:06 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","5"
"2024/04/27 5:54:37 PM GMT+6","31 - 35","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 5:55:26 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","Less than a month","3"
"2024/04/27 5:55:56 PM GMT+6","26 - 30","Male","Dhaka","IUB","Arts/Humanities/Social Sciences","2.5 - 3.0","Yes","Rarely","1 - 3","Better time management","Yes","Full-time employment","20,000 - 50,000","1-3 months","2"
"2024/04/27 5:56:30 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Immediately after","1"
"2024/04/27 5:57:03 PM GMT+6","21 - 25","Female","Dhaka","IUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","Less than a month","2"
"2024/04/27 6:00:09 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","6-9 months","5"
"2024/04/27 6:00:47 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:01:14 PM GMT+6","31 - 35","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:01:45 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:02:16 PM GMT+6","31 - 35","Male","Dhaka ","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:02:55 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:03:22 PM GMT+6","36 - 40","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:03:48 PM GMT+6","36 - 40","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:04:38 PM GMT+6","36 - 40","Female","Chittagong","CUET","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 6:05:10 PM GMT+6","36 - 40","Female","Chittagong ","CUET","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:06:27 PM GMT+6","31 - 35","Female","Chittagong","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:06:28 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Part-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/27 6:07:03 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 6:07:09 PM GMT+6","26 - 30","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:07:38 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:08:23 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:08:49 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","6-9 months","4"
"2024/04/27 6:09:15 PM GMT+6","31 - 35","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:09:45 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/27 6:10:26 PM GMT+6","31 - 35","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/27 6:11:10 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:11:41 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:12:21 PM GMT+6","31 - 35","Female","Dhaka","AIUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:13:39 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:14:31 PM GMT+6","31 - 35","Female","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:15:10 PM GMT+6","26 - 30","Female","Chittagong","CUET","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:15:41 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:16:08 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","6-9 months","3"
"2024/04/27 6:16:36 PM GMT+6","31 - 35","Male","Chittagong","CUET","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:17:03 PM GMT+6","31 - 35","Male","Dhaka","Dhaka University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 6:17:38 PM GMT+6","21 - 25","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","4"
"2024/04/27 6:17:39 PM GMT+6","31 - 35","Female","Dhaka ","Dhaka University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:18:07 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","5"
"2024/04/27 6:18:12 PM GMT+6","31 - 35","Female","Chittagong","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:18:35 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 6:18:46 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:19:05 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 9:05:17 PM GMT+6","26 - 30","Female","Dhaka","Dhaka University","Arts/Humanities/Social Sciences","2.0 - 2.5","Yes","Rarely","1 - 3","Better time management","Yes","Full-time employment","20,000 - 50,000","Less than a month","2"
"2024/04/27 9:52:46 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
"2024/04/27 9:53:17 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
"2024/04/27 9:53:42 PM GMT+6","26 - 30","Female","Dhaka","IUB","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
"2024/04/27 9:54:07 PM GMT+6","26 - 30","Male","Dhaka","AIUB","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","2"
"2024/04/27 9:54:28 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","1"
"2024/04/27 9:55:17 PM GMT+6","26 - 30","Male","Dhaka","IUB","Arts/Humanities/Social Sciences","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","1"
"2024/04/27 9:55:45 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","1"
"2024/04/27 9:56:12 PM GMT+6","26 - 30","Female","Dhaka","Dhaka University","Arts/Humanities/Social Sciences","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","1"
"2024/04/27 9:56:41 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","1"
"2024/04/27 9:57:28 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/27 9:58:34 PM GMT+6","26 - 30","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/27 9:59:41 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Arts/Humanities/Social Sciences","2.5 - 3.0","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","Immediately after","2"
"2024/04/27 10:00:11 PM GMT+6","21 - 25","Female","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","Less than a month","2"
"2024/04/27 10:00:44 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","Less than a month","3"
"2024/04/27 10:01:31 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","6-9 months","3"
"2024/04/27 10:01:53 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","6-9 months","2"
"2024/04/27 10:02:14 PM GMT+6","31 - 35","Female","Dhaka","IUB","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","20,000 - 50,000","6-9 months","1"
"2024/04/27 10:02:39 PM GMT+6","31 - 35","Female","Dhaka","AIUB","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","9-12 months","1"
"2024/04/27 10:03:05 PM GMT+6","31 - 35","Male","Chittagong","CUET","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","9-12 months","2"
"2024/04/27 10:03:26 PM GMT+6","31 - 35","Female","Chittagong","CUET","Business/Economics","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","50,000-80,000","9-12 months","2"
"2024/04/27 10:03:49 PM GMT+6","31 - 35","Male","Khulna","Brac University","Business/Economics","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","6-9 months","2"
"2024/04/27 10:04:16 PM GMT+6","36 - 40","Male","Chittagong","IUB","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","9-12 months","2"
"2024/04/27 10:04:39 PM GMT+6","31 - 35","Male","Chittagong","North South University","Business/Economics","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","More than a year","2"
"2024/04/27 10:05:28 PM GMT+6","31 - 35","Male","Khulna","IUB","Business/Economics","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","9-12 months","1"
"2024/04/27 10:05:56 PM GMT+6","26 - 30","Male","Sylhet","North South University","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:06:16 PM GMT+6","36 - 40","Male","Sylhet","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","2"
"2024/04/27 10:06:40 PM GMT+6","36 - 40","Male","Sylhet","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:06:59 PM GMT+6","36 - 40","Female","Sylhet","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:07:21 PM GMT+6","36 - 40","Female","Sylhet","IUB","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:07:41 PM GMT+6","36 - 40","Male","Sylhet","IUB","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development;Better time management","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:08:02 PM GMT+6","36 - 40","Male","Sylhet","Dhaka University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","6-9 months","4"
"2024/04/27 10:08:23 PM GMT+6","36 - 40","Male","Sylhet","AIUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:08:43 PM GMT+6","31 - 35","Female","Sylhet","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:09:20 PM GMT+6","36 - 40","Male","Dhaka","Dhaka University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","6-9 months","4"
"2024/04/27 10:09:39 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 10:09:59 PM GMT+6","36 - 40","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:10:18 PM GMT+6","31 - 35","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","150,000 - 200,000","Less than a month","5"
"2024/04/27 10:10:40 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:11:00 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:11:23 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 10:11:42 PM GMT+6","26 - 30","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:12:00 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:12:18 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 10:12:37 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","2.0 - 2.5","Yes","Sometimes","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:12:56 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","3"
"2024/04/27 10:13:15 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 10:13:36 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","50,000-80,000","6-9 months","2"
"2024/04/27 10:14:00 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","6-9 months","2"
"2024/04/27 10:16:58 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Sometimes","4 - 6","A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","1-3 months","3"
"2024/04/27 10:17:51 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Business/Economics","3.0 - 3.5","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","1-3 months","3"
"2024/04/27 10:18:32 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 10:19:10 PM GMT+6","31 - 35","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","A better understanding of academic courses;Better time management","Yes","Full-time employment","110,000 - 150,000","Less than a month","4"